Company,Description,Revenue_Breakup,Market_Cap,Current_Price,High_Low,Stock_P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value
TCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. [1]","Revenue Breakup Q2FY24 | [1] | BFSI : 32.6% | Consumer Business : 15.9% | Life Sciences & Healthcare : 10.9% | Technology & Services : 8.6% | Manufacturing : 8.5% | Communication & Media : 6.9% | Energy, Resources and Utilities : 5.6% | Regional Markets & Others : 11%",,3658,,274,231,150,748,604,100
INFY,"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation.[1] It is the 2nd largest Information Technology company in India behind TCS.[2]","Digital Services (~57% of revenues) | [1] | It comprises of services and solution offerings of the group that enables clients to transform their businesses. It includes offerings that enhance customer experience, leverage AI-based analytics and big data, engineer digital products and IoT, modernize legacy tech systems, migrate to cloud applications and implement advanced cyber-security systems. | [2]",,1628,,247,194,233,462,366,500
RELIANCE,"Reliance was founded by Dhirubhai Ambani and is now promoted and managed by his elder son, Mukesh Dhirubhai Ambani. Ambani's family has about 50% shareholding in the conglomerate.","OIL-TO-CHEMICALS SEGMENT (~57% of revenues) | [1] | Under the segment, the company primarily refines crude oil to manufacture/ extract transportation fuels, polymers and elastomers, intermediates and polyesters. It has plants and manufacturing assets located across India in Jamnagar, Hazira, Dahej, Nagothane, Vadodara and others. | It has a crude refining capacity of 1.4 million barrels per day. It also has the largest single site refinery complex globally. | [2] | It had a total throughput of ~77 million metric tonnes in FY22 out of which ~89% was meant for sale. | [3]",,1285,,493,387,39,960,842,100
HDFCBANK,"HDFC Bank Limited (also known as HDFC) is an Indian banking and financial services company headquartered in Mumbai. It is India's largest private sector bank by assets and the world's tenth-largest bank by market capitalization as of May 2024. As of April 2024, HDFC Bank has a market capitalization of $145 billion, making it the third-largest company on the Indian stock exchanges. [1]",Market Position | The company is India's one of 3 systemically important banks with a | 15% market share | in the banking sector’s advances and a | 37% market share | in the private sector banks’ advances as of FY24. It is also the | second-largest bank in India | . | [1] | It is among the top 3 Government Banks collecting direct and indirect taxes for the Government of India. | [2] | | It is a market leader in almost every asset category | . | [3],,1821,,210,627,107,754,169,100
ICICIBANK,"ICICI Bank is the second-largest private sector bank in India offering a diversified portfolio of financial products and services to retail, SME and corporate customers. The Bank has an extensive network of branches, ATMs and other touch-points.The ICICI group has presence in businesses like life and general insurance, housing finance, primary dealership, etc, through its subsidiaries and associates.[1]",Ratios 9MFY24 | Capital Adequacy Ratio - 16.03% | [1] | Net Interest Margin - 4.57% | [2] | Gross NPA - 2.30% | Net NPA - 0.44% | [3] | CASA Ratio - 39.4% | [4],,1344,,210,382,74,751,186,200
ITC,"Established in 1910, ITC is the largest cigarette manufacturer and seller in the country. ITC operates in five business segments at present — FMCG Cigarettes, FMCG Others, Hotels, Paperboards, Paper and Packaging, and Agri Business. [1]","Business Segments | | 1) FMCG Cigarettes (42% in H1 FY25 vs 40% in FY22): | | [1] | | [2] | The company holds an | 80% market share | in the organized domestic cigarette market, offering brands like Insignia, India Kings, Classic, Gold Flake, American Club, Wills Navy Cut, Players, Scissors, Capstan, Berkeley, etc. This vertical is the | most profitable business of the company with 78% contribution towards PBIT. | In Q2 FY25, the segment revenue grew by 7% YoY, supported by volume growth and a relatively stable tax regime. | [3] | | [4] | | [5] |",,410,,257,583,336,375,292,100
BHARTIARTL,"Bharti Airtel Ltd is one of the world’s leading providers of telecommunication services with presence in 18 countries representing India, Sri Lanka, 14 countries in Africa. [1]","Segments & Presence | [1] | Mobile, Broadband, DTH and Bank. | | The company has operations in India, Africa, Bangladesh and Sri Lanka.",,1730,,828,182,46,859,654,500
MARUTI,"The Company was established in 1981. A joint venture agreement was signed between the Government of India and Suzuki Motor Corporation (SMC), Japan in 1982. The Company became a subsidiary of SMC in 2002.It is the market leader in passenger vehicle segment in India. In terms of production volume and sales, the Company is now SMC’s largest subsidiary. SMC currently holds 56.28% of its equity stake. The principal activities of the Company are manufacturing, purchase and sale of motor vehicles, components and spare parts.",Market share of major car manufacturers (%) | [1] | Maruti Suzuki - 45.0 | Hyundai - 15 | Tata - 13 | Mahindra - 10 | Kia - 7 | Others: 13%,,11869,,264,2778,105,186,144,500
TITAN,"Titan Company Ltd is among India’s most respected lifestyle companies. It has established leadership positions in the Watches, Jewellery and Eyewear categories led by its trusted brands and differentiated customer experience. It was founded in 1984 as a joint-venture between TATA Group and Tamilnadu Industrial Development Corporation (TIDCO). [1]","Brands | SKINN, Fastrak, Titan Eye+, Tanishq, Sonata, etc. | [1]",,3054,,834,169,36,217,268,100
HDFC,"Housing Development Finance Corporation Limited is an Indian financial services company based in Mumbai, India. It is a major housing finance provider in India. It also has a presence in banking, life and general insurance, asset management, venture capital, realty, education, deposits and education loans","Pioneer In Housing Finance In India | In 1977, HDFC Ltd. became the first housing finance company in India | [1] | . Later, HDFC itself incorporated India’s next three housing finance companies – Gruh Finance | [2] | , SBI Home Finance and Can Fin Homes | [3] | | [4] | .",,2724,,311,730,0,847,128,200
